generation_id,filename,input_condition,model,moral_index,moral_text,Values
Heart of Darkness__full_text__gpt-5.4,Heart of Darkness,full_text,gpt-5.4,1,"When power is unchecked by restraint, the darkness within us takes command.","{""gpt-5.4"": [""Power"", ""Restraint"", ""Harm""], ""gemini-3.1-pro-preview"": [""Power"", ""Restraint""]}"
Heart of Darkness__full_text__gpt-5.4,Heart of Darkness,full_text,gpt-5.4,2,Fine ideals mean little when greed and self-deception rule the heart.,"{""gpt-5.4"": [""Greed"", ""Integrity"", ""Truth"", ""Self-Knowledge""], ""gemini-3.1-pro-preview"": [""Greed"", ""Self-Knowledge"", ""Integrity"", ""Truth""]}"
Heart of Darkness__full_text__gpt-5.4,Heart of Darkness,full_text,gpt-5.4,3,"To face the truth about human nature is painful, but blindness is more dangerous.","{""gpt-5.4"": [""Truth"", ""Wisdom"", ""Knowledge"", ""Self-Knowledge""], ""gemini-3.1-pro-preview"": [""Truth"", ""Wisdom"", ""Self-Knowledge"", ""Knowledge"", ""Courage""]}"
Heart of Darkness__full_text__gemini-3.1-pro-preview,Heart of Darkness,full_text,gemini-3.1-pro-preview,1,The veneer of civilization is fragile and easily stripped away to reveal the primal darkness within human nature.,"{""gpt-5.4"": [""Self-Knowledge"", ""Truth"", ""Wisdom"", ""Harm""], ""gemini-3.1-pro-preview"": [""Restraint"", ""Self-Knowledge"", ""Truth"", ""Order"", ""Harm""]}"
Heart of Darkness__full_text__gemini-3.1-pro-preview,Heart of Darkness,full_text,gemini-3.1-pro-preview,2,"Absolute power and isolation, devoid of societal restraint, inevitably lead to moral corruption and madness.","{""gpt-5.4"": [""Power"", ""Order"", ""Restraint"", ""Authority"", ""Harm"", ""Wisdom""], ""gemini-3.1-pro-preview"": [""Power"", ""Restraint"", ""Integrity"", ""Belonging""]}"
Heart of Darkness__full_text__gemini-3.1-pro-preview,Heart of Darkness,full_text,gemini-3.1-pro-preview,3,Society often relies on comforting illusions and lies to shield itself from the horrifying truths of its own existence.,"{""gpt-5.4"": [""Truth"", ""Comfort"", ""Harm""], ""gemini-3.1-pro-preview"": [""Truth"", ""Comfort"", ""Self-Knowledge"", ""Security""]}"
Heart of Darkness__chunk_summary__gpt-5.4,Heart of Darkness,chunk_summary,gpt-5.4,1,Unchecked power strips away civilization and reveals the darkness within.,"{""gpt-5.4"": [""Power"", ""Harm"", ""Reckoning""], ""gemini-3.1-pro-preview"": [""Power"", ""Restraint"", ""Harm"", ""Order""]}"
Heart of Darkness__chunk_summary__gpt-5.4,Heart of Darkness,chunk_summary,gpt-5.4,2,Fine ideals become cruelty when greed rules the heart.,"{""gpt-5.4"": [""Greed"", ""Harm"", ""Compassion"", ""Kindness"", ""Integrity""], ""gemini-3.1-pro-preview"": [""Greed"", ""Harm"", ""Integrity""]}"
Heart of Darkness__chunk_summary__gpt-5.4,Heart of Darkness,chunk_summary,gpt-5.4,3,Seeing the truth about evil does not spare one from complicity.,"{""gpt-5.4"": [""Truth"", ""Integrity"", ""Reckoning"", ""Confronting the past"", ""Justice""], ""gemini-3.1-pro-preview"": [""Truth"", ""Knowledge"", ""Harm"", ""Integrity""]}"
Heart of Darkness__chunk_summary__gemini-3.1-pro-preview,Heart of Darkness,chunk_summary,gemini-3.1-pro-preview,1,"Without the external restraints of society, the human soul is highly susceptible to corruption and primal darkness.","{""gpt-5.4"": [""Order"", ""Restraint"", ""Harm""], ""gemini-3.1-pro-preview"": [""Restraint"", ""Order"", ""Authority"", ""Integrity""]}"
